req_id,device_id,arrival_ms,deadline_ms
req-2,edge-1,3.78,488.77
req-4,edge-2,9.63,497.39
req-6,edge-3,16.29,491.20
req-8,edge-7,6.50,513.33
req-10,edge-9,19.48,511.87
req-12,edge-0,31.34,510.57
req-14,edge-1,27.79,485.76
req-16,edge-2,29.46,514.44
req-18,edge-3,25.77,497.86
req-20,edge-6,36.13,508.80
req-22,edge-9,39.29,511.89
req-24,edge-2,50.39,491.69
req-26,edge-3,54.90,508.30
req-28,edge-5,58.75,491.53
req-30,edge-6,56.78,502.52
req-32,edge-7,42.31,493.19
req-34,edge-2,68.19,490.38
req-36,edge-4,62.39,499.88
req-38,edge-1,81.10,507.04
req-40,edge-2,92.13,503.87
req-42,edge-3,88.02,503.55
req-44,edge-4,90.96,486.13
req-46,edge-5,87.10,486.27
req-48,edge-6,85.73,492.00
req-50,edge-0,108.12,514.65
req-52,edge-1,108.62,486.64
req-54,edge-2,104.62,511.42
req-56,edge-6,100.05,488.15
req-58,edge-8,108.48,498.97
req-60,edge-2,128.27,489.43
req-62,edge-6,125.04,491.33
req-64,edge-7,125.26,507.36
req-66,edge-0,152.72,498.91
req-68,edge-3,148.86,495.95
req-70,edge-5,158.19,501.82
req-72,edge-0,178.50,509.55
req-74,edge-1,171.90,494.83
req-76,edge-2,162.49,502.64
req-78,edge-4,169.03,499.28
req-80,edge-5,169.91,490.02
req-82,edge-8,169.91,510.86
req-84,edge-9,160.40,495.22
req-86,edge-0,196.42,485.93
req-88,edge-3,198.64,492.43
req-90,edge-4,195.98,504.60
req-92,edge-5,185.25,489.61
req-94,edge-0,201.14,506.28
req-96,edge-3,208.82,509.17
req-98,edge-4,202.52,494.71
req-100,edge-6,203.29,514.86
req-102,edge-1,223.31,497.97
req-104,edge-2,227.23,494.73
req-106,edge-3,227.05,510.74
req-108,edge-6,229.07,505.90
req-110,edge-9,225.46,510.59
req-112,edge-1,259.18,504.95
req-114,edge-3,243.49,509.87
req-116,edge-4,248.54,514.34
req-118,edge-5,257.69,501.77
req-120,edge-6,248.27,494.01
req-122,edge-0,264.97,507.73
req-124,edge-1,277.91,501.80
req-126,edge-4,274.18,493.54
req-128,edge-6,265.31,491.17
req-130,edge-9,278.95,508.44
req-132,edge-0,291.48,495.75
req-134,edge-1,286.00,510.79
req-136,edge-2,287.66,497.82
req-138,edge-5,282.08,499.74
req-140,edge-2,317.63,487.57
req-142,edge-3,316.96,494.13
req-144,edge-4,313.68,495.20
req-146,edge-5,306.46,504.04
req-148,edge-6,302.73,494.93
req-150,edge-0,339.32,491.95
req-152,edge-2,337.53,487.00
req-154,edge-5,336.15,489.40
req-156,edge-6,337.85,513.39
req-158,edge-9,336.75,501.25
req-160,edge-1,350.43,492.77
req-162,edge-2,347.45,487.38
req-164,edge-5,346.07,513.26
req-166,edge-6,340.09,489.36
req-168,edge-3,379.27,507.30
req-170,edge-5,367.90,512.79
req-172,edge-8,378.51,512.47
req-174,edge-0,392.35,497.95
req-176,edge-1,380.65,488.30
req-178,edge-2,395.53,490.46
req-180,edge-7,391.13,500.40
req-182,edge-3,408.53,489.69
req-184,edge-5,413.51,507.70
req-186,edge-7,411.61,502.87
req-188,edge-0,427.87,501.89
req-190,edge-2,423.81,502.67
req-192,edge-3,421.28,500.55
req-194,edge-8,427.56,503.58
req-196,edge-1,447.17,488.19
req-198,edge-2,449.92,507.44
req-200,edge-4,456.17,488.20
req-202,edge-8,448.54,495.51
req-204,edge-0,469.97,507.68
req-206,edge-1,473.20,485.33
req-208,edge-2,475.27,514.29
req-210,edge-4,464.52,492.86
req-212,edge-5,463.96,513.76
req-214,edge-0,485.18,514.27
req-216,edge-1,482.58,493.41
req-218,edge-2,483.23,496.67
req-220,edge-4,485.98,514.56
req-222,edge-6,490.15,498.77
req-224,edge-0,518.38,489.95
req-226,edge-2,509.29,509.36
req-228,edge-3,507.61,507.51
req-230,edge-6,508.89,505.85
req-232,edge-2,532.76,493.70
req-234,edge-3,528.19,498.44
req-236,edge-9,536.85,512.38
req-238,edge-1,553.78,491.42
req-240,edge-4,554.43,499.64
req-242,edge-5,543.25,489.97
req-244,edge-6,547.96,495.85
req-246,edge-1,561.83,514.71
req-248,edge-3,560.25,504.83
req-250,edge-7,577.47,489.05
req-252,edge-0,592.52,502.35
req-254,edge-3,591.20,500.80
req-256,edge-7,598.69,508.47
req-258,edge-8,596.27,514.84
req-260,edge-1,600.34,504.49
req-262,edge-3,601.99,511.96
req-264,edge-4,600.26,510.65
req-266,edge-5,603.23,502.58
req-268,edge-6,610.98,501.60
req-270,edge-1,632.06,512.97
req-272,edge-2,636.47,485.03
req-274,edge-3,638.09,496.65
req-276,edge-8,623.90,497.35
req-278,edge-4,647.44,489.09
req-280,edge-6,641.55,491.76
req-282,edge-1,677.39,507.02
req-284,edge-3,676.77,503.85
req-286,edge-6,676.65,511.54
req-288,edge-1,688.47,489.82
req-290,edge-2,689.05,499.41
req-292,edge-3,681.67,509.95
req-294,edge-4,689.94,494.28
req-296,edge-1,709.44,501.02
req-298,edge-3,702.00,495.14
req-300,edge-5,713.92,489.76
req-302,edge-8,702.64,499.44
req-304,edge-1,729.36,493.66
req-306,edge-3,720.93,511.55
req-308,edge-4,726.53,490.89
req-310,edge-6,725.72,502.86
req-312,edge-8,722.74,504.78
req-314,edge-0,740.91,501.60
req-316,edge-4,752.49,493.40
req-318,edge-5,742.39,510.81
req-320,edge-1,763.31,511.38
req-322,edge-2,772.98,505.76
req-324,edge-3,760.38,489.31
req-326,edge-5,760.51,491.07
req-328,edge-6,776.18,488.19
req-330,edge-2,799.69,506.36
req-332,edge-3,793.79,514.23
req-334,edge-4,791.33,498.30
req-336,edge-5,792.42,510.85
req-338,edge-0,802.85,513.85
req-340,edge-1,812.01,508.67
req-342,edge-2,818.54,495.87
req-344,edge-5,816.02,507.46
req-346,edge-6,807.44,503.74
req-348,edge-3,821.99,502.60
req-350,edge-4,827.39,486.86
req-352,edge-5,836.62,490.38
req-354,edge-6,831.96,511.09
req-356,edge-9,829.01,512.22
req-358,edge-0,852.74,498.66
req-360,edge-2,853.47,496.82
req-362,edge-5,846.91,509.94
req-364,edge-7,855.19,493.12
req-366,edge-0,864.28,504.11
req-368,edge-1,861.08,512.61
req-370,edge-2,868.23,513.41
req-372,edge-5,874.00,507.95
req-374,edge-6,861.16,507.01
req-376,edge-2,883.39,513.97
req-378,edge-2,909.30,492.97
req-380,edge-3,908.08,507.09
req-382,edge-4,913.36,493.24
req-384,edge-0,931.68,497.07
req-386,edge-1,936.80,503.73
req-388,edge-2,925.80,507.68
req-390,edge-3,921.54,488.90
req-392,edge-5,933.26,511.43
req-394,edge-6,921.93,508.90
req-396,edge-9,937.06,501.86
req-398,edge-0,944.14,488.81
req-400,edge-1,947.91,504.83
req-402,edge-2,954.06,488.99
req-404,edge-3,946.96,494.38
req-406,edge-0,961.20,514.85
req-408,edge-1,973.57,506.38
req-410,edge-2,966.73,494.10
req-412,edge-0,1000.00,489.63
req-414,edge-1,994.15,488.09
req-416,edge-2,996.36,496.36
req-418,edge-3,986.47,511.34
req-420,edge-4,991.69,504.53
req-422,edge-7,991.24,494.64
req-424,edge-9,993.06,510.92
req-426,edge-1,1012.72,489.88
req-428,edge-2,1018.22,498.88
req-430,edge-3,1003.64,490.93
req-432,edge-4,1001.33,491.83
req-434,edge-6,1014.93,496.18
req-436,edge-8,1009.81,511.02
req-438,edge-0,1025.47,487.27
req-440,edge-1,1031.09,500.08
req-442,edge-3,1035.67,488.67
req-444,edge-6,1024.71,490.53
req-446,edge-7,1038.44,500.48
req-448,edge-8,1021.56,494.01
req-450,edge-1,1055.55,486.31
req-452,edge-7,1051.42,487.79
req-454,edge-8,1041.62,497.33
req-456,edge-9,1057.77,497.08
req-458,edge-0,1063.26,496.36
req-460,edge-2,1078.83,498.03
req-462,edge-3,1064.48,490.40
req-464,edge-6,1060.39,510.10
req-466,edge-9,1065.20,501.21
req-468,edge-2,1080.62,491.63
req-470,edge-3,1092.21,490.87
req-472,edge-4,1081.22,499.53
req-474,edge-9,1087.67,496.48
req-476,edge-2,1112.87,505.56
req-478,edge-6,1100.87,502.54
req-480,edge-0,1136.79,497.84
req-482,edge-1,1121.16,496.73
req-484,edge-2,1131.22,503.24
req-486,edge-3,1122.80,496.83
req-488,edge-6,1135.01,487.05
req-490,edge-1,1156.68,509.81
req-492,edge-4,1155.07,487.01
